,readability,sem_complexity,entropy,sem_coher,corpus_url,ent_name,kmeans,gmix,agg,cluster_vote,term_CEFR,term_CEFR_factor,corpus_CEFR,corpus_CEFR_factor
5862,11.683480178470514,5.483168316831684,0.1527821426792817,0.17436258515112757,https://www.investopedia.com/terms/v/voluntary-liquidation.asp,Voluntary Liquidation,4,3,3,3,C2,3.0,C2,5.0
5863,10.51024665257215,4.930955120828538,0.15109616197950612,0.172925564366407,https://www.investopedia.com/terms/v/voluntary-plan-termination.asp,Voluntary Plan Termination,2,2,2,2,C2,3.0,C2,5.0
5864,9.572299260433084,5.6572068707991034,0.10750318457620547,0.17658959548843117,https://www.investopedia.com/terms/v/voluntary-reserve.asp,Voluntary Reserve,2,2,2,2,C2,3.0,C2,5.0
5865,9.710802370452207,5.225462304409673,0.086687587455228,0.14128755694780645,https://www.investopedia.com/terms/v/voluntary-simplicity.asp,Voluntary Simplicity,2,2,2,2,B2,2.0,B2,3.0
5866,14.244002882599464,5.246738513896767,0.12701776737930634,0.24338130347872677,https://www.investopedia.com/terms/v/voluntary-termination.asp,Voluntary Termination,3,4,4,4,C2,3.0,B2,3.0
5867,12.773878141860834,5.2431761786600495,0.16005186161798532,0.24353895511202273,https://www.investopedia.com/terms/v/voluntary-trust.asp,Voluntary Trust,4,4,3,4,B2,2.0,C1,4.0
5868,5.709799888827089,5.148391812865497,0.2455169697420981,0.19030223323947043,https://www.investopedia.com/terms/v/vomma.asp,Vomma,0,0,1,0,A2,1.0,B2,3.0
5869,10.826018237082184,5.125940792774712,0.0858707764977174,0.18834937258677872,https://www.investopedia.com/terms/v/voodooaccounting.asp,Voodoo Accounting,2,3,2,2,B2,2.0,B2,3.0
5870,10.346187996392597,5.149842271293376,0.13251684085580254,0.15538408864016284,https://www.investopedia.com/terms/v/voodooeconomics.asp,Voodoo Economics,2,2,2,2,B2,2.0,C1,4.0
5871,5.096476984414654,5.437275985663082,0.09535095148168563,0.1253793116498029,https://www.investopedia.com/terms/v/vortex-indicator-vi.asp,Vortex Indicator (VI),0,0,0,0,B2,2.0,C1,4.0
5872,12.100961933160583,5.225779967159277,0.17485119304368385,0.3198878104177233,https://www.investopedia.com/terms/v/vostroaccount.asp,Vostro Account,4,3,3,3,A2,1.0,C2,5.0
5873,9.087481203007467,5.073065902578796,0.13417771166195663,0.25347450966624174,https://www.investopedia.com/terms/v/votingshares.asp,Voting Shares,1,1,2,1,B2,2.0,B2,3.0
5874,9.169440184049169,5.13517338995046,0.1447186889588855,0.20173352907520684,https://www.investopedia.com/terms/v/votingtrust.asp,Voting Trust,1,1,2,1,B2,2.0,C1,4.0
5875,11.45830742049478,5.211827007943513,0.16702809316597333,0.25127786583548245,https://www.investopedia.com/terms/v/votingtrustagreement.asp,Voting Trust Agreement,2,3,2,2,B2,2.0,B2,3.0
5876,14.482089864158798,5.150061500615006,0.12181346277827045,0.29387998163981266,https://www.investopedia.com/terms/v/voting-trust-certificate.asp,Voting Trust Certificate,3,5,4,3,B2,2.0,B2,3.0
5877,9.584711733953224,5.375966993295513,0.1562495663166107,0.21858347303211045,https://www.investopedia.com/terms/v/voucher.asp,Voucher,2,2,2,2,C2,3.0,C2,5.0
5878,8.060771241830018,4.6536130536130536,0.15337218939378056,0.20698872824733225,https://www.investopedia.com/terms/v/voucher-check.asp,Voucher Check,1,1,1,1,B2,2.0,C1,4.0
